ps_polling_area,postaladdressline1,postaladdressline2,postaladdressline3,postaladdressline4,postaladdressline5,postcode,uprn,easting,northing
A,St Andrews Hall,Tulketh Road,Preston,Lancashire,,PR2 1ER,10007613268,351549.430538
AA,Sacred Heart RC School,Poulton Street,Preston,Lancashire,,PR2 2SA,100012749365,352157,430191
B,Brookfield Community Primary School,Watling Street Road,Brookfield,Preston,,PR2 6TU,200001037639,356274,432143
BA,Brookfield Community Primary School,Watling Street Road,Brookfield,Preston,,PR2 6TU,200001037639,356274,432143
BB,Greenlands Primary School,Dawnay Road,Ribbleton,Preston,,PR2 6BB,10007613063,356236,431332
BC,St Maria Goretti Community Centre,Gamull Lane,Ribbleton,Preston,Lancashire,PR2 6SJ,10090425983,356767,432124
BD,St Maria Goretti Community Centre,Gamull Lane,Ribbleton,Preston,Lancashire,PR2 6SJ,10090425983,356767,432124
C,St Anthonys Annexe,St Anthonys Drive,Preston,Lancashire,,PR2 3SQ,10090425984,352321,431804
CA,Fulwood And Cadley Primary School,Cadley Causeway,Preston,Lancashire,,PR2 3QT,10007601876.352649.431869.
D,Corpus Christi Catholic High School,Caretakers House,St Vincents Road,Preston,Lancashire,PR2 8QY,100012750196,353511,432398
DA,Fulwood Methodist Church,Rear Entrance ,Highgate Avenue,Fulwood,Preston,PR2 8EA,100012750483,353378,431531
DB,Lonsdale Club,Fulwood Hall Lane,Fulwood,Preston,Lancashire,PR2 8DA,100012750180,354537,431864
DC,Christ Church Community Hall,Victoria Road,Fulwood,Preston,,PR2 8NE,10013866885,353718,431433
E,Deepdale County Junior School,St Stephens Road,Preston,Lancashire,,PR1 6TD,100012845852,354701,430702
EA,St Gregorys RC Primary School,Blackpool Road,Preston,Lancashire,,PR1 6HQ,10007601037,354968,431054
F,Sahara,48-54 Fishwick Parade,Preston,,,PR1 4XQ,10002223438,355388,429691
FA,St Teresas RC Primary School,Downing Street,Preston,,,PR1 4RH,10007603220,356315,429979
FB,Mobile Polling Station,Junction of New Hall Lane and Tudor Avenue,Preston,,,PR1 4TD,356877,430115
G,Lonsdale Club,Fulwood Hall Lane,Fulwood,Preston,Lancashire,PR2 8DA,100012750180,354537,431864
GA,Clifton House,Lucerne Road,Preston,Lancashire,,PR2 8FA,10013576584,355419,431762
GB,Millennium Hall,Neapsands Close,Fulwood,Preston,Lancashire,PR2 9AQ,10007609023,355831,432404
H,Harris County Primary School,Wychnor,Preston,Lancashire,,PR2 7EE,100010577713,351879,433234
HA,Our Lady And St Edwards Parish Centre,Marlborough Drive,Preston,Lancashire,,PR2 9UE,10090425985,352881,433479
HB,St Martins Parish Hall,Broadway,Preston,Lancashire,,PR2 9TH,10007611611,352872,432979
